194,,"Carlos Boozer
POWER FORWARD","$3,251,000"
195,,"Gary Neal
POINT GUARD","$3,250,000"
196,,"Anthony Morrow
SHOOTING GUARD","$3,200,000"
197,,"Quincy Pondexter
SMALL FORWARD","$3,146,068"
198,,"Chris Copeland
SMALL FORWARD","$3,135,000"
,,"Dorell Wright
SMALL FORWARD","$3,135,000"
200,,"Klay Thompson
SHOOTING GUARD","$3,075,880"
201,,"Harrison Barnes
SMALL FORWARD","$3,049,920"
202,,"Alec Burks
POINT GUARD","$3,034,356"
203,,"Ben McLemore
SHOOTING GUARD","$3,026,280"
204,,"Joel Freeland
POWER FORWARD","$3,013,512"
205,,"Randy Foye
SHOOTING GUARD","$3,000,000"
,,"Anthony Tolliver
POWER FORWARD","$3,000,000"
,,"D.J. Augustin
POINT GUARD","$3,000,000"
,,"Jerryd Bayless
POINT GUARD","$3,000,000"
,,"Kosta Koufos
CENTER","$3,000,000"
210,,"Julius Randle
POWER FORWARD","$2,997,360"
211,,"Markieff Morris
POWER FORWARD","$2,989,239"
212,,"Furkan Aldemir
POWER FORWARD","$2,963,232"
213,,"Marcus Morris
SMALL FORWARD","$2,943,221"
214,,"Kawhi Leonard
SMALL FORWARD","$2,894,059"
215,,"Marco Belinelli
SMALL FORWARD","$2,873,750"
216,,"Terrence Ross
SMALL FORWARD","$2,793,960"
217,,"Kentavious Caldwell-Pope
SHOOTING GUARD","$2,772,480"
218,,"Nikola Vucevic
CENTER","$2,751,260"
219,,"Luke Ridnour
POINT GUARD","$2,750,000"
220,,"Nik Stauskas
SHOOTING GUARD","$2,745,840"
221,,"Mike Miller
SHOOTING GUARD","$2,732,000"
,,"Jameer Nelson
POINT GUARD","$2,732,000"
,,"Brian Roberts
POINT GUARD","$2,732,000"
,,"Udonis Haslem
POWER FORWARD","$2,732,000"
,,"Kirk Hinrich
SHOOTING GUARD","$2,732,000"
226,,"Iman Shumpert
SHOOTING GUARD","$2,616,975"
227,,"Andre Drummond
CENTER","$2,568,360"
228,,"Trey Burke
POINT GUARD","$2,548,560"
229,,"Noah Vonleh
POWER FORWARD","$2,524,200"
230,,"James Johnson
POWER FORWARD","$2,500,000"
231,,"DeMarre Carroll
SMALL FORWARD","$2,442,455"
232,,"Austin Rivers
SHOOTING GUARD","$2,439,840"
233,,"Shelvin Mack
POINT GUARD","$2,433,333"
234,,"C.J. McCollum
SHOOTING GUARD","$2,421,000"
235,,"Elfrid Payton
POINT GUARD","$2,397,840"
236,,"Tobias Harris
POWER FORWARD","$2,380,594"
237,,"Meyers Leonard
CENTER","$2,317,920"
238,,"Michael Carter-Williams
POINT GUARD","$2,300,040"
239,,"Doug McDermott
SMALL FORWARD","$2,277,960"
240,,"Kenneth Faried
POWER FORWARD","$2,249,768"
241,,"Nick Collison
POWER FORWARD","$2,242,003"
242,,"Brendan Haywood
CENTER","$2,213,688"
243,,"Reggie Jackson
POINT GUARD","$2,204,370"
244,,"Jeremy Lamb
SHOOTING GUARD","$2,202,000"
245,,"Steven Adams
CENTER","$2,184,960"
246,,"Ramon Sessions
POINT GUARD","$2,077,000"
,,"Danny Granger
SMALL FORWARD","$2,077,000"
,,"Josh Smith
SMALL FORWARD","$2,077,000"
,,"Beno Udrih
POINT GUARD","$2,077,000"
,,"C.J. Watson
POINT GUARD","$2,077,000"
,,"Aron Baynes
POWER FORWARD","$2,077,000"
,,"Steve Blake
POINT GUARD","$2,077,000"
253,,"Kelly Olynyk
CENTER","$2,075,760"
254,,"Zach LaVine
SHOOTING GUARD","$2,055,840"
255,,"Norris Cole
POINT GUARD","$2,038,206"
256,,"Cory Joseph
POINT GUARD","$2,023,261"
